structure_id	structure_name	acronym	loc	acronym_upper	Left_hemisphere	Right_hemisphere	Undefined_hemisphere	source	coldcuts_acronym	coldcuts_id	coldcuts_name	coldcuts
4367	COMA_Cortico-medial group, Left	COMA	NA	COMA	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
9067	VTA_ventral tegmental area, Left	VTA	NA	VTA	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
9598	GiRt_gigantocellular group, Left	GiRt	NA	GIRT	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4260	S_subiculum, Right	S	NA	S	FALSE	TRUE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4455	DTM_Medial Group of Nuclei, Right	DTM	NA	DTM	FALSE	TRUE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
9684	Sp5_spinal trigeminal nucleus, Right	Sp5	NA	SP5	FALSE	TRUE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4113	AnG-s_angular gyrus, Left, superior bank of gyrus	AnG	s	ANG	TRUE	FALSE	FALSE	ABA_dataset_adult	AnG	12136	angular gyrus	TRUE
9206	Mo5_motor nucleus of trigeminal nerve, Left	Mo5	NA	MO5	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4746	He-X_X, Left Lateral Hemisphere	He	X	HE	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
9079	PTec_Pretectal Region	PTec	NA	PTEC	FALSE	FALSE	TRUE	ABA_dataset_adult	NA	NA	NA	NA
4151	ITG-mts_inferior temporal gyrus, Left, bank of mts	ITG	mts	ITG	TRUE	FALSE	FALSE	ABA_dataset_adult	ITG	12142	inferior temporal gyrus	TRUE
4051	MOrG_medial orbital gyrus, Left	MOrG	NA	MORG	TRUE	FALSE	FALSE	ABA_dataset_adult	MOrG	12122	medial orbital gyrus	TRUE
4518	Sb_Subthalamic Nucleus, Left	Sb	NA	SB	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
9642	RaM_raphe nuclei of medulla	RaM	NA	RAM	FALSE	FALSE	TRUE	ABA_dataset_adult	NA	NA	NA	NA
4193	LiG-pest_lingual gyrus, Left, peristriate	LiG	pest	LIG	TRUE	FALSE	FALSE	ABA_dataset_adult	LIG	12177	long insular gyri	TRUE
4193	LiG-pest_lingual gyrus, Left, peristriate	LiG	pest	LIG	TRUE	FALSE	FALSE	ABA_dataset_adult	LiG	12151	lingual gyrus	TRUE
4267	DG_Dentate gyrus, Right	DG	NA	DG	FALSE	TRUE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4189	Cun-pest_cuneus, Right, peristriate	Cun	pest	CUN	FALSE	TRUE	FALSE	ABA_dataset_adult	Cun	12150	cuneus	TRUE
4313	BST_Nucleus of Stria Terminalis, Left	BST	NA	BST	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4201	OTG-i_occipito-temporal gyrus, Left, inferior bank of gyrus	OTG	i	OTG	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4017	PrG-prc_precentral gyrus, Right, bank of the precentral sulcus	PrG	prc	PRG	FALSE	TRUE	FALSE	ABA_dataset_adult	PRG	146034892	perirhinal gyrus ( rostral part of FuGt)	TRUE
9039	3_Oculomotor Nuclear Complex, Right	3	NA	3	FALSE	TRUE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4210	IOG-s_inferior occipital gyrus, Right, superior bank of gyrus	IOG	s	IOG	FALSE	TRUE	FALSE	ABA_dataset_adult	IOG	12153	inferior occipital gyrus	TRUE
4720	PV-V_V, Left Paravermis	PV	V	PV	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4892	FPm_frontal pole, Left, medial aspect	FPm	NA	FPM	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4123	Pcu-s_precuneus, Right, superior lateral bank of gyrus	Pcu	s	PCU	FALSE	TRUE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4671	MB_Mammillary Body, Left	MB	NA	MB	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4734	He-III_III, Left Lateral Hemisphere	He	III	HE	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
9698	8Ve_vestibular nuclei, Left	8Ve	NA	8VE	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4903	TP-s_temporal pole, Left, superior aspect	TP	s	TP	TRUE	FALSE	FALSE	ABA_dataset_adult	TP	12146	temporal pole	TRUE
4675	LM_Lateral Mammillary Nucleus, Left	LM	NA	LM	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4648	PeF_Perifornical Nucleus, Left	PeF	NA	PEF	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4039	trIFG_Inferior frontal gyrus, triangular part, Left	trIFG	NA	TRIFG	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4095	PoG-pcs_postcentral gyrus, Right, bank of the posterior central sulcus	PoG	pcs	POG	FALSE	TRUE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
10151	LTu_Lateral Tuberal Nucleus, Left	LTu	NA	LTU	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
9078	SNR_Substantia Nigra, pars reticulata, Right	SNR	NA	SNR	FALSE	TRUE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4240	CgGr-s_Cingulate gyrus, retrosplenial part, Right, superior bank of gyrus	CgGr	s	CGGR	FALSE	TRUE	FALSE	ABA_dataset_adult	CgGr	12157	cingulate gyrus, rostral (anterior) part	TRUE
4711	Ve-IX_IX	Ve	IX	VE	FALSE	FALSE	TRUE	ABA_dataset_adult	NA	NA	NA	NA
4116	AnG-s_angular gyrus, Right, superior bank of gyrus	AnG	s	ANG	FALSE	TRUE	FALSE	ABA_dataset_adult	AnG	12136	angular gyrus	TRUE
4120	Pcu-s_precuneus, Left,  superior lateral bank of gyrus	Pcu	s	PCU	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4074	PCLa-i_paracentral lobule, anterior part, Left, inferior bank of gyrus	PCLa	i	PCLA	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
10143	Pir_piriform cortex, left	Pir	NA	PIR	FALSE	FALSE	TRUE	ABA_dataset_adult	Pir	10311	piriform cortex	TRUE
9157	RPn_pontine raphe nucleus	RPn	NA	RPN	FALSE	FALSE	TRUE	ABA_dataset_adult	NA	NA	NA	NA
4718	PV-III_III, Left Paravermis	PV	III	PV	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
9455	MBRa_Midbrain Raphe Nuclei	MBRa	NA	MBRA	FALSE	FALSE	TRUE	ABA_dataset_adult	NA	NA	NA	NA
4771	He-VI_VI, Right Lateral Hemisphere	He	VI	HE	FALSE	TRUE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4196	LiG-pest_lingual gyrus, Right, peristriate	LiG	pest	LIG	FALSE	TRUE	FALSE	ABA_dataset_adult	LIG	12177	long insular gyri	TRUE
4196	LiG-pest_lingual gyrus, Right, peristriate	LiG	pest	LIG	FALSE	TRUE	FALSE	ABA_dataset_adult	LiG	12151	lingual gyrus	TRUE
4730	PV-X_X, Left Paravermis	PV	X	PV	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4902	IRoG_inferior rostral gyrus, Right	IRoG	NA	IROG	FALSE	TRUE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
9054	RN_Red Nucleus, Left	RN	NA	RN	TRUE	FALSE	FALSE	ABA_dataset_adult	RN	12247	red nucleus	TRUE
4739	He-Crus I_Crus I, Left Lateral Hemisphere	He	Crus I	HE	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4782	Dt_Dentate Nucleus, Left	Dt	NA	DT	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
